1860	I don't want to go to school.	3633475	ᏝᏋ ᏗᏕᏠᏆᏍᏗ ᏩᏇᏙᏗ ᏯᏆᏚᎵᎠ.
2077	"Thank you." "You're welcome."	3158142	"ᏩᏙ." "ᎬᎵᎡᎵᎦ."
2136	Where is the bathroom?	3158166	ᎭᏢ ᏙᏯ ᎤᎾᏨᏍᏗ ᏱᎩ?
17283	Where is your school?	2422754	ᎭᏢ ᏔᏕᏠᏆ?
63957	Is your mother at home?	2422758	ᎤᏬᏝᎨ ᏣᏥ?
254819	I saw it with my own eyes.	2424258	ᎠᎩᎪᎲ ᏗᏥᎦᏙᎵ ᎬᏗ.
378270	Do you speak English?	3158175	ᎩᎵᏏ ᎯᏬᏂ ᏍᎩ?
415441	Do you speak French?	3158198	ᎦᎸᏥ ᎯᏬᏂ ᏍᎩ?
456635	Pleased to meet you.	3158094	ᎦᎵᎡᎵ ᏥᏕᎾᎸ.
1052358	Winter is coming.	2422749	ᎪᎳ ᏂᏓᎦᎵᏍᏓᏂ.
1349767	I'm big.	3592632	ᎠᏆᏔᎾ.
2249856	Say it again.	3158100	ᎠᏏᏇ ᎭᏓ.
2361918	I'm sorry, I don't understand.	3158211	ᎤᏲ ᎠᏰᎶᏗ, Ꮭ ᏱᎪᎵᎦ.
2412739	I have two cats.	2422746	ᎠᏂᏔᎵ ᏪᏌ ᎬᎩᎧᎭ.
2412771	The woman is in the room.	2422757	ᎧᏅᏑᏢ ᏩᏯ ᎠᎨᏴ.
2412863	The chairs are under the tree.	2423576	ᎭᏫᏂᏗᏢ ᏡᎬ ᏗᎦᏍᎩᎶ.
2412872	The apple is on the table.	2422755	ᎦᏍᎩᎶ ᏒᎦᏔ ᎤᏝᏅ.
2423581	I see a white lion.	2423583	ᏥᎪᏘ ᎤᏁᎦ ᎤᎵᏑᏫᏒ ᏢᏓᏥ.
2423585	I was in the pool yesterday.	2423586	ᎤᏒᎯ ᎦᏓᏬᏍᎬ.
3294459	He is speaking.	3294460	ᎦᏬᏂᎭ.
854401	I want coffee.	4254558	ᎧᏫ ᎠᏆᏚᎵᎭ.
71168	I'm happy to see you.	5418749	ᎦᎵᎡᎵᎦ ᏥᎬᎪᏩᏘᎭ.
2271917	I don't see you.	5418759	ᏱᎬᎪᏩᏘᎭ.
2297251	I'm writing a book.	9204120	ᏗᎪᏪᎵ ᎪᏪᎵᎠ.
6873252	I'm drinking coffee.	9204130	ᎧᏫ ᎦᏗᏔᏍᎦ.
4275681	I'm drinking water.	9204131	ᎠᎹ ᎦᏗᏔᏍᎦ.
13624984	I love you! Goodbye.	13624982	ᎬᎨᏳᎯ! ᏙᎾᏓᎪᎲᎢ.
1434	I love you.	13625626	ᎬᎨᏳᎯ.
